"code";"current";"team";"team_gender";"country_code";"country";"country_long";"discipline";"disciplines_code";"events";"athletes";"coaches";"athletes_codes";"num_athletes";"coaches_codes";"num_coaches"
"ARCMTEAM3---CHN01";"True";"People's Republic of China";"M";"CHN";"China";"People's Republic of China";"Archery";"ARC";"Men's Team";"\"['KAO Wenchao'";" 'LI Zhongyuan'";" 'WANG Yan']\"";"";"\"['1913366'";" '1913367'"
"ARCMTEAM3---COL01";"True";"Colombia";"M";"COL";"Colombia";"Colombia";"Archery";"ARC";"Men's Team";"\"['ARCILA Santiago'";" 'ENRIQUEZ Jorge'";" 'HERNANDEZ VERA Andres']\"";"";"\"['1935642'";" '1543412'"
"ARCMTEAM3---FRA01";"True";"France";"M";"FRA";"France";"France";"Archery";"ARC";"Men's Team";"\"['ADDIS Baptiste'";" 'CHIRAULT Thomas'";" 'VALLADONT Jean-Charles']\"";"";"\"['1541270'";" '1541272'"
"ARCMTEAM3---GBR01";"True";"Great Britain";"M";"GBR";"Great Britain";"Great Britain";"Archery";"ARC";"Men's Team";"\"['HALL Conor'";" 'HALL Tom'";" 'WISE Alex']\"";"";"\"['1560988'";" '1560989'"
"ARCMTEAM3---IND01";"True";"India";"M";"IND";"India";"India";"Archery";"ARC";"Men's Team";"\"['BOMMADEVARA Dhiraj'";" 'JADHAV Pravin Ramesh'";" 'RAI Tarundeep']\"";"";"\"['1546108'";" '1546112'"
"ARCMTEAM3---ITA01";"True";"Italy";"M";"ITA";"Italy";"Italy";"Archery";"ARC";"Men's Team";"\"['MUSOLESI Federico'";" 'NESPOLI Mauro'";" 'PAOLI Alessandro']\"";"";"\"['1915456'";" '1915454'"
"ARCMTEAM3---JPN01";"True";"Japan";"M";"JPN";"Japan";"Japan";"Archery";"ARC";"Men's Team";"\"['FURUKAWA Takaharu'";" 'NAKANISHI Junya'";" 'SAITO Fumiya']\"";"";"\"['1890994'";" '1890985'"
"ARCMTEAM3---KAZ01";"True";"Kazakhstan";"M";"KAZ";"Kazakhstan";"Kazakhstan";"Archery";"ARC";"Men's Team";"\"['ABDULLIN Ilfat'";" 'YEREMENKO Alexandr'";" 'ZHANGBYRBAY Dauletkeldi']\"";"";"\"['1931570'";" '1560342'"
"ARCMTEAM3---KOR01";"True";"Republic of Korea";"M";"KOR";"Korea";"Republic of Korea";"Archery";"ARC";"Men's Team";"\"['KIM Je Deok'";" 'KIM Woojin'";" 'LEE Wooseok']\"";"";"\"['1902130'";" '1902135'"
"ARCMTEAM3---MEX01";"True";"Mexico";"M";"MEX";"Mexico";"Mexico";"Archery";"ARC";"Men's Team";"\"['GRANDE Matias'";" 'MARTINEZ WING Bruno'";" 'ROJAS Carlos']\"";"";"\"['1535430'";" '1536467'"
"ARCMTEAM3---TPE01";"True";"Chinese Taipei";"M";"TPE";"Chinese Taipei";"Chinese Taipei";"Archery";"ARC";"Men's Team";"\"['LIN Zih-Siang'";" 'TANG Chih-Chun'";" 'TAI Yu-Hsuan']\"";"";"\"['1564631'";" '1564628'"
"ARCMTEAM3---TUR01";"True";"Türkiye";"M";"TUR";"Türkiye";"Türkiye";"Archery";"ARC";"Men's Team";"\"['GAZOZ Mete'";" 'TUMER Berkim'";" 'YILDIRMIS Abdullah']\"";"";"\"['1565000'";" '1565002'"
"ARCWTEAM3---CHN01";"True";"People's Republic of China";"W";"CHN";"China";"People's Republic of China";"Archery";"ARC";"Women's Team";"\"['AN Qixuan'";" 'LI Jiaman'";" 'YANG Xiaolei']\"";"";"\"['1913382'";" '1913372'"
