start_date;end_date;day;status;discipline;discipline_code;event;event_medal;phase;gender;event_type;venue;venue_code;location_description;location_code;url
2024-07-27T23:48:00+02:00;2024-07-28T00:18:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T00:24:00+02:00;2024-07-28T00:54:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T01:00:00+02:00;2024-07-28T01:30:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T01:36:00+02:00;2024-07-28T02:06:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T02:12:00+02:00;2024-07-28T02:42:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T02:48:00+02:00;2024-07-28T03:18:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T03:24:00+02:00;2024-07-28T03:54:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T04:00:00+02:00;2024-07-28T04:30:00+02:00;2024-07-27;FINISHED;Surfing;SRF;Women;0;Women's Round 1;W;ATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/prel--------
2024-07-28T23:48:00+02:00;2024-07-29T00:18:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T00:24:00+02:00;2024-07-29T01:04:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T01:10:00+02:00;2024-07-29T01:40:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T01:46:00+02:00;2024-07-29T02:16:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T02:22:00+02:00;2024-07-29T02:52:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T02:58:00+02:00;2024-07-29T03:28:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T03:34:00+02:00;2024-07-29T04:14:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-07-29T04:20:00+02:00;2024-07-29T04:50:00+02:00;2024-07-28;FINISHED;Surfing;SRF;Men;0;Men's Round 2;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/rep---------
2024-08-01T23:48:00+02:00;2024-08-02T00:18:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Men;0;Men's Quarterfinals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/qfnl--------
2024-08-02T00:24:00+02:00;2024-08-02T00:54:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Men;0;Men's Quarterfinals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/qfnl--------
2024-08-02T01:00:00+02:00;2024-08-02T01:30:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Men;0;Men's Quarterfinals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/qfnl--------
2024-08-02T01:36:00+02:00;2024-08-02T02:06:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Men;0;Men's Quarterfinals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/qfnl--------
2024-08-02T02:12:00+02:00;2024-08-02T02:42:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Women;0;Women's Quarterfinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/qfnl--------
2024-08-02T02:48:00+02:00;2024-08-02T03:18:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Women;0;Women's Quarterfinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/qfnl--------
2024-08-02T03:24:00+02:00;2024-08-02T03:54:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Women;0;Women's Quarterfinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/qfnl--------
2024-08-02T04:00:00+02:00;2024-08-02T04:30:00+02:00;2024-08-01;FINISHED;Surfing;SRF;Women;0;Women's Quarterfinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/qfnl--------
2024-08-05T23:42:00+02:00;2024-08-06T00:12:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Women;0;Women's Semifinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/sfnl--------
2024-08-06T00:18:00+02:00;2024-08-06T00:48:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Women;0;Women's Semifinals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/sfnl--------
2024-08-06T00:54:00+02:00;2024-08-06T01:29:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Men;3;Men's Finals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/fnl---------
2024-08-06T01:35:00+02:00;2024-08-06T02:10:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Women;3;Women's Finals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/fnl---------
2024-08-06T02:16:00+02:00;2024-08-06T02:51:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Men;1;Men's Finals;M;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/men/fnl---------
2024-08-06T02:57:00+02:00;2024-08-06T03:32:00+02:00;2024-08-05;FINISHED;Surfing;SRF;Women;1;Women's Finals;W;HATH;Teahupo'o, Tahiti;TAH;Teahupo'o, Tahiti;TAH;/en/paris-2024/results/surfing/women/fnl---------
