start_date;end_date;day;status;discipline;discipline_code;event;event_medal;phase;gender;event_type;venue;venue_code;location_description;location_code;url
2024-07-26T09:00:00+02:00;2024-07-26T09:30:00+02:00;2024-07-26;FINISHED;Shooting;SHO;10m Air Rifle Mixed Team;0;10m Air Rifle Mixed Team Training;X;TEAM;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-26T10:00:00+02:00;2024-07-26T11:15:00+02:00;2024-07-26;FINISHED;Shooting;SHO;10m Air Pistol Men;0;10m Air Pistol Men's Training;M;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-26T11:45:00+02:00;2024-07-26T13:00:00+02:00;2024-07-26;FINISHED;Shooting;SHO;10m Air Pistol Women;0;10m Air Pistol Women Training;W;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-27T14:15:00+02:00;2024-07-27T15:30:00+02:00;2024-07-27;FINISHED;Shooting;SHO;10m Air Rifle Women;0;10m Air Rifle Women's Training;W;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-27T16:00:00+02:00;2024-07-27T17:15:00+02:00;2024-07-27;FINISHED;Shooting;SHO;10m Air Rifle Men;0;10m Air Rifle Men's Training;M;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-28T09:00:00+02:00;2024-07-28T15:00:00+02:00;2024-07-28;FINISHED;Shooting;SHO;Trap Men;0;Trap Men's Training;M;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - Shotgun Range;SH6;
2024-07-28T14:00:00+02:00;2024-07-28T14:30:00+02:00;2024-07-28;FINISHED;Shooting;SHO;10m Air Pistol Mixed Team;0;10m Air Pistol Mixed Team Training;X;TEAM;Chateauroux Shooting Ctr;CTX;Chateauroux - 10m Qualification;SH2;
2024-07-29T08:30:00+02:00;2024-07-29T08:30:00+02:00;2024-07-29;CANCELLED;Badminton;BDM;Men's Doubles;0;Men's Doubles Group Play Stage - Grp C;M;HCOUP;La Chapelle Arena;CPL;La Chapelle Arena Court 3;BD3;
2024-07-29T14:00:00+02:00;2024-07-29T14:00:00+02:00;2024-07-29;CANCELLED;Badminton;BDM;Men's Singles;0;Men's Singles Group Play Stage - Grp L;M;HATH;La Chapelle Arena;CPL;La Chapelle Arena Court 2;BD2;
2024-07-29T14:30:00+02:00;2024-07-29T18:15:00+02:00;2024-07-29;FINISHED;Shooting;SHO;Trap Women;0;Trap Women's Training;W;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - Shotgun Range;SH6;
2024-07-30T14:50:00+02:00;2024-07-30T14:50:00+02:00;2024-07-30;CANCELLED;Badminton;BDM;Men's Doubles;0;Men's Doubles Group Play Stage - Grp C;M;HCOUP;La Chapelle Arena;CPL;La Chapelle Arena Court 1;BD1;
2024-07-30T17:45:00+02:00;2024-07-30T19:15:00+02:00;2024-07-30;FINISHED;Shooting;SHO;50m Rifle 3 Positions Men;0;50m Rifle 3 Positions Men's Training;M;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 50m Qualification;SH4;
2024-07-31T09:20:00+02:00;2024-07-31T09:20:00+02:00;2024-07-31;CANCELLED;Badminton;BDM;Men's Singles;0;Men's Singles Group Play Stage - Grp L;M;HATH;La Chapelle Arena;CPL;La Chapelle Arena Court 3;BD3;
2024-07-31T17:45:00+02:00;2024-07-31T19:15:00+02:00;2024-07-31;FINISHED;Shooting;SHO;50m Rifle 3 Positions Women;0;50m Rifle 3 Pos. Women's Training;W;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 50m Qualification;SH4;
2024-08-01T09:00:00+02:00;2024-08-01T14:00:00+02:00;2024-08-01;FINISHED;Shooting;SHO;25m Pistol Women;0;25m Pistol Women's Training;W;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - 25m Qualification;SH3;
2024-08-01T09:00:00+02:00;2024-08-01T14:00:00+02:00;2024-08-01;FINISHED;Shooting;SHO;Skeet Men;0;Skeet Men's Training;M;ATH;Chateauroux Shooting Ctr;CTX;Chateauroux - Shotgun Range;SH6;
2024-08-01T13:36:00+02:00;2024-08-01T13:57:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Men's Windsurfing;0;Men's Windsurfing Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T13:56:00+02:00;2024-08-01T14:17:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Women's Windsurfing;0;Women's Windsurfing Opening Series;W;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T14:07:00+02:00;2024-08-01T14:28:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Men's Windsurfing;0;Men's Windsurfing Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T14:27:00+02:00;2024-08-01T14:48:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Women's Windsurfing;0;Women's Windsurfing Opening Series;W;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T17:38:00+02:00;2024-08-01T17:59:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Women's Windsurfing;0;Women's Windsurfing Opening Series;W;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T17:38:00+02:00;2024-08-01T17:59:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Women's Windsurfing;0;Women's Windsurfing Opening Series;W;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T18:09:00+02:00;2024-08-01T18:30:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Women's Windsurfing;0;Women's Windsurfing Opening Series;W;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
2024-08-01T18:28:00+02:00;2024-08-01T18:49:00+02:00;2024-08-01;CANCELLED;Sailing;SAL;Men's Windsurfing;0;Men's Windsurfing Opening Series;M;ATH;Marseille Marina;MAM;Marseille Marina - Corniche;SA2;
