country;medal_date;total;gold;silver;bronze
AIN;2024-08-02;2;1;1;0
AIN;2024-08-03;1;0;1;0
AIN;2024-08-04;1;0;1;0
AIN;2024-08-10;1;0;0;1
Albania;2024-08-10;1;0;0;1
Albania;2024-08-11;1;0;0;1
Algeria;2024-08-04;1;1;0;0
Algeria;2024-08-09;1;1;0;0
Algeria;2024-08-10;1;0;0;1
Argentina;2024-07-31;1;1;0;0
Argentina;2024-08-08;1;0;1;0
Argentina;2024-08-09;1;0;0;1
Armenia;2024-08-04;1;0;1;0
Armenia;2024-08-07;2;0;1;1
Armenia;2024-08-10;1;0;1;0
Australia;2024-07-27;5;3;2;0
Australia;2024-07-28;1;1;0;0
Australia;2024-07-29;3;1;2;0
Australia;2024-07-30;2;1;0;1
Australia;2024-07-31;5;1;2;2
Australia;2024-08-01;2;1;0;1
Australia;2024-08-02;4;3;0;1
Australia;2024-08-03;5;1;2;2
Australia;2024-08-04;4;0;3;1
Australia;2024-08-05;2;1;1;0
Australia;2024-08-06;2;1;0;1
Australia;2024-08-07;6;4;0;2
Australia;2024-08-08;4;0;2;2
Australia;2024-08-09;3;0;2;1
Australia;2024-08-10;2;0;2;0
Australia;2024-08-11;3;0;1;2
Austria;2024-07-31;1;0;0;1
Austria;2024-08-08;1;1;0;0
Austria;2024-08-09;2;1;0;1
Austria;2024-08-10;1;0;0;1
Azerbaijan;2024-07-29;1;1;0;0
Azerbaijan;2024-08-01;1;1;0;0
Azerbaijan;2024-08-07;1;0;1;0
Azerbaijan;2024-08-08;1;0;0;1
Azerbaijan;2024-08-09;1;0;1;0
Azerbaijan;2024-08-10;1;0;0;1
Azerbaijan;2024-08-11;1;0;0;1
Bahrain;2024-08-06;1;1;0;0
Bahrain;2024-08-09;1;0;1;0
Bahrain;2024-08-10;1;0;0;1
Bahrain;2024-08-11;1;1;0;0
Belgium;2024-07-27;2;1;0;1
Belgium;2024-07-31;1;0;0;1
Belgium;2024-08-03;1;1;0;0
Belgium;2024-08-04;1;0;0;1
Belgium;2024-08-08;1;0;0;1
Belgium;2024-08-09;3;1;0;2
Belgium;2024-08-10;1;0;1;0
Botswana;2024-08-08;1;1;0;0
Botswana;2024-08-10;1;0;1;0
Brazil;2024-07-28;3;0;1;2
Brazil;2024-07-30;1;0;0;1
Brazil;2024-08-01;2;0;2;0
Brazil;2024-08-02;1;1;0;0
Brazil;2024-08-03;3;0;1;2
Brazil;2024-08-05;3;1;1;1
Brazil;2024-08-07;1;0;0;1
Brazil;2024-08-08;1;0;0;1
Brazil;2024-08-09;3;1;1;1
Brazil;2024-08-10;2;0;1;1
Bulgaria;2024-08-08;4;1;0;3
Bulgaria;2024-08-09;3;2;1;0
Cabo Verde;2024-08-04;1;0;0;1
Canada;2024-07-27;1;0;1;0
Canada;2024-07-28;1;0;0;1
Canada;2024-07-29;3;2;0;1
Canada;2024-07-30;1;0;1;0
Canada;2024-07-31;1;0;0;1
Canada;2024-08-01;1;1;0;0
Canada;2024-08-02;3;0;0;3
Canada;2024-08-03;4;1;2;1
Canada;2024-08-04;2;1;0;1
Canada;2024-08-06;1;1;0;0
Canada;2024-08-07;1;0;0;1
Canada;2024-08-08;2;0;1;1
Canada;2024-08-09;3;1;1;1
Canada;2024-08-10;3;2;1;0
Chile;2024-08-04;1;1;0;0
Chile;2024-08-06;1;0;1;0
China;2024-07-27;3;2;0;1
China;2024-07-28;3;1;1;1
China;2024-07-29;6;2;4;0
China;2024-07-30;2;1;1;0
China;2024-07-31;5;3;1;1
China;2024-08-01;5;2;0;3
China;2024-08-02;7;2;2;3
China;2024-08-03;6;3;3;0
China;2024-08-04;8;3;3;2
China;2024-08-05;8;2;3;3
China;2024-08-06;6;1;3;2
China;2024-08-07;6;3;2;1
