sport;gold;silver;bronze;total
Tennis;5;5;5;15
Golf;2;2;2;6
Sport Climbing;4;4;4;12
Triathlon;3;3;3;9
Boxing;13;13;26;52
Rugby Sevens;2;2;2;6
Volleyball;2;2;2;6
Hockey;2;2;2;6
Rowing;14;14;14;42
Surfing;2;2;2;6
3x3 Basketball;2;2;2;6
Football;2;2;2;6
Cycling Road;4;4;4;12
Weightlifting;10;10;10;30
Equestrian;6;6;6;18
Marathon Swimming;2;2;2;6
Handball;2;2;2;6
Skateboarding;4;4;4;12
Artistic Gymnastics;14;14;15;43
Taekwondo;8;8;16;32
Rhythmic Gymnastics;2;2;2;6
Beach Volleyball;2;2;2;6
Modern Pentathlon;2;2;2;6
Shooting;15;15;15;45
Badminton;5;5;5;15
Artistic Swimming;2;2;2;6
Fencing;12;12;12;36
Table Tennis;5;5;5;15
Basketball;2;2;2;6
Wrestling;18;18;36;72
Cycling BMX Racing;2;2;2;6
Athletics;48;48;49;145
Canoe Sprint;10;10;11;31
Archery;5;5;5;15
Breaking;2;2;2;6
Sailing;10;10;10;30
Judo;15;15;30;60
Diving;8;8;8;24
Cycling Mountain Bike;2;2;2;6
Water Polo;2;2;2;6
Trampoline Gymnastics;2;2;2;6
Swimming;35;36;34;105
Canoe Slalom;6;6;6;18
Cycling BMX Freestyle;2;2;2;6
Cycling Track;12;12;12;36
