code;age
1532872;34
1532873;26
1532874;29
1532944;26
1532945;26
1532951;32
1533112;36
1533136;30
1533176;29
1533188;31
1533189;28
1533190;38
1533208;28
1533209;18
1533230;35
1533231;32
1533232;31
1533234;28
1533235;23
1533237;25
1533239;22
1533240;31
1533243;25
1533245;29
1533359;21
1533364;28
1533371;28
1533372;29
1533374;26
1533378;21
1535180;28
1535186;24
1535187;23
1535191;26
1535195;28
1535199;25
1535201;30
1535202;31
1535203;29
1535212;28
1535214;34
1535216;28
1535217;30
1535222;33
1535225;32
1535226;26
1535252;31
1535260;28
1535267;33
1535310;24
1535343;23
1535345;24
1535346;28
1535348;25
1535349;21
1535350;29
1535351;57
1535354;31
1535356;31
1535357;29
1535358;21
1535359;21
1535360;23
1535361;21
1535362;18
1535363;27
1535364;28
1535365;32
1535366;28
1535367;26
1535368;23
1535373;27
1535374;26
1535375;24
1535376;35
1535383;27
1535385;27
1535395;24
1535420;31
1535429;19
1535430;21
1535433;33
1535438;25
1535439;29
1535440;41
1535441;26
1535442;26
1535444;29
1535448;26
1535449;32
1535505;22
1535506;21
1535511;34
1535512;36
1535513;25
1535514;25
1535522;23
1535524;31
1535609;23
1535660;28
1535693;22
1535729;25
1535766;21
1535776;21
1535804;24
1535805;24
1535852;19
1535853;28
1535854;22
1535856;23
1535858;29
1535910;24
1535913;23
1535914;20
1535916;24
1535918;33
1535925;28
1535926;27
1535927;21
1535928;24
1535929;24
1535930;24
1535959;23
1535993;33
1536032;40
1536045;22
1536058;25
1536064;20
1536067;27
1536157;23
1536175;22
1536184;19
1536190;27
1536196;20
1536197;27
1536198;23
1536207;31
1536214;33
1536215;34
1536233;27
1536251;27
1536341;34
1536368;29
1536371;37
1536372;20
1536460;25
1536467;27
1536479;25
1536494;34
1536495;28
1536496;28
1536497;24
1536498;24
1536522;27
1536523;25
1536568;20
1536585;32
1536599;28
1536600;30
1536624;39
1536632;26
1536648;28
1536649;30
1536650;32
1536651;26
1536669;23
1536683;32
1536701;32
1536721;26
1536885;33
